023-06-06 18:45:30 ,0.00,0.00
023-06-06 18:45:31 ,0.00,0.00
023-06-06 18:45:32 ,0.20,0.00
023-06-06 18:45:33 ,0.00,0.00
023-06-06 18:45:34 ,0.00,0.00
023-06-06 18:45:35 ,0.00,0.00
023-06-06 18:45:36 ,0.00,0.00
023-06-06 18:45:37 ,0.00,0.00
023-06-06 18:45:38 ,0.00,0.00
023-06-06 18:45:39 ,0.00,0.00
023-06-06 18:45:40 ,0.00,0.00
023-06-06 18:45:41 ,0.00,0.00
023-06-06 18:45:42 ,0.00,0.00
023-06-06 18:45:43 ,0.00,0.00
023-06-06 18:45:44 ,0.00,0.00
023-06-06 18:45:45 ,0.00,0.00
023-06-06 18:45:46 ,0.00,0.00
023-06-06 18:45:47 ,0.00,0.00
023-06-06 18:45:48 ,0.00,0.00
023-06-06 18:45:49 ,0.00,0.00
023-06-06 18:45:50 ,0.00,0.00
023-06-06 18:45:51 ,0.00,0.00
023-06-06 18:45:52 ,0.00,0.00
023-06-06 18:45:53 ,0.00,0.00
023-06-06 18:45:54 ,0.00,0.00
023-06-06 18:45:55 ,0.00,0.00
023-06-06 18:45:56 ,0.00,0.00
023-06-06 18:45:57 ,0.00,0.00
023-06-06 18:45:58 ,0.00,0.00
023-06-06 18:45:59 ,0.00,0.00
023-06-06 18:46:00 ,0.00,0.00
023-06-06 18:46:01 ,0.00,0.00
023-06-06 18:46:02 ,0.00,0.00
023-06-06 18:46:03 ,0.00,0.00
023-06-06 18:46:04 ,0.00,0.00
023-06-06 18:46:05 ,0.00,0.00
023-06-06 18:46:06 ,0.21,0.00
023-06-06 18:46:07 ,0.00,0.00
023-06-06 18:46:08 ,0.00,0.00
023-06-06 18:46:09 ,0.00,0.00
023-06-06 18:46:10 ,0.00,0.00
023-06-06 18:46:11 ,0.00,0.00
023-06-06 18:46:12 ,0.00,0.00
023-06-06 18:46:13 ,0.00,0.00
023-06-06 18:46:14 ,0.00,0.00
023-06-06 18:46:15 ,0.00,0.00
023-06-06 18:46:16 ,0.00,0.00
023-06-06 18:46:17 ,0.33,0.32
023-06-06 18:46:18 ,0.00,0.00
023-06-06 18:46:19 ,0.00,0.00
023-06-06 18:46:20 ,0.00,0.00
023-06-06 18:46:21 ,0.00,0.00
023-06-06 18:46:22 ,0.06,0.04
023-06-06 18:46:23 ,0.00,0.00
023-06-06 18:46:24 ,0.00,0.00
023-06-06 18:46:25 ,0.00,0.00
023-06-06 18:46:26 ,0.00,0.00
023-06-06 18:46:27 ,0.00,0.00
023-06-06 18:46:28 ,0.00,0.00
023-06-06 18:46:29 ,0.00,0.00
023-06-06 18:46:30 ,0.00,0.00
023-06-06 18:46:31 ,0.00,0.00
023-06-06 18:46:32 ,0.20,0.00
023-06-06 18:46:33 ,0.00,0.00
023-06-06 18:46:34 ,0.00,0.00
023-06-06 18:46:35 ,0.00,0.00
023-06-06 18:46:36 ,0.00,0.00
023-06-06 18:46:37 ,0.00,0.00
023-06-06 18:46:38 ,0.00,0.00
023-06-06 18:46:39 ,0.00,0.00
023-06-06 18:46:40 ,0.00,0.00
023-06-06 18:46:41 ,0.00,0.00
023-06-06 18:46:42 ,0.00,0.00
023-06-06 18:46:43 ,0.00,0.00
023-06-06 18:46:44 ,0.00,0.00
023-06-06 18:46:45 ,0.00,0.00
023-06-06 18:46:46 ,0.00,0.00
023-06-06 18:46:47 ,0.00,0.00
023-06-06 18:46:48 ,0.00,0.00
023-06-06 18:46:49 ,0.00,0.00
023-06-06 18:46:50 ,0.00,0.00
023-06-06 18:46:51 ,0.00,0.00
023-06-06 18:46:52 ,0.00,0.00
023-06-06 18:46:53 ,0.00,0.00
023-06-06 18:46:54 ,0.00,0.00
023-06-06 18:46:55 ,0.00,0.00
023-06-06 18:46:56 ,0.00,0.00
023-06-06 18:46:57 ,0.00,0.00
023-06-06 18:46:58 ,0.00,0.00
023-06-06 18:46:59 ,0.00,0.00
023-06-06 18:47:00 ,0.00,0.00
023-06-06 18:47:01 ,0.00,0.00
023-06-06 18:47:02 ,0.00,0.00
023-06-06 18:47:03 ,0.00,0.00
023-06-06 18:47:04 ,0.00,0.00
023-06-06 18:47:05 ,0.00,0.00
023-06-06 18:47:06 ,0.21,0.00
023-06-06 18:47:07 ,0.00,0.00
