timestamp,pop_ping_latency_ms
2023-09-18 15:50:05.639862,29.333334
2023-09-18 15:50:15.655106,23.75
2023-09-18 15:50:25.714892,22.35
2023-09-18 15:50:35.775020,20.5
2023-09-18 15:50:45.834480,28.714285
2023-09-18 15:50:55.935286,30.904762
2023-09-18 15:51:05.994887,62.714287
2023-09-18 15:51:16.055356,52.666668
2023-09-18 15:51:26.155310,55.190475
2023-09-18 15:51:36.294444,74.1
2023-09-18 15:51:46.354991,23.428572
2023-09-18 15:51:56.414042,23.45
2023-09-18 15:52:06.455468,33.42857
2023-09-18 15:52:16.515297,33.25
2023-09-18 15:52:26.592970,31.142857
2023-09-18 15:52:36.674910,29.619047
2023-09-18 15:52:46.734889,23.380953
2023-09-18 15:52:56.774990,23.666666
2023-09-18 15:53:06.814452,52.714287
2023-09-18 15:53:16.955082,32.2
2023-09-18 15:53:26.994685,30.761906
2023-09-18 15:53:37.034427,40.2
2023-09-18 15:53:47.155477,30.190475
2023-09-18 15:53:57.294931,30.65
2023-09-18 15:54:07.355108,42.04762
2023-09-18 15:54:17.414305,31.85
2023-09-18 15:54:27.475258,41.5
2023-09-18 15:54:37.534373,45.1
2023-09-18 15:54:47.593406,32.761906
2023-09-18 15:54:57.696674,38.095238
2023-09-18 15:55:07.755011,36.809525
2023-09-18 15:55:17.814152,44.857143
2023-09-18 15:55:27.956174,52.42857
2023-09-18 15:55:38.015072,41.904762
2023-09-18 15:55:48.155411,31.904762
2023-09-18 15:55:58.294989,44.38095
2023-09-18 15:56:08.354680,33.61905
2023-09-18 15:56:18.414319,24.380953
2023-09-18 15:56:28.475321,73.15
2023-09-18 15:56:38.534400,72.38095
2023-09-18 15:56:48.593237,40.333332
2023-09-18 15:56:58.654533,33.7
2023-09-18 15:57:08.714289,32.57143
2023-09-18 15:57:18.775236,31.9
2023-09-18 15:57:28.834470,52.25
2023-09-18 15:57:38.934673,49.7
2023-09-18 15:57:48.974297,37.761906
2023-09-18 15:57:59.035466,74.05
2023-09-18 15:58:09.075291,73.85
2023-09-18 15:58:19.155221,31.857143
2023-09-18 15:58:29.294028,70.42857
2023-09-18 15:58:39.354713,65.2
2023-09-18 15:58:49.414414,39.095238
2023-09-18 15:58:59.455155,34.666668
2023-09-18 15:59:09.494664,22.666666
2023-09-18 15:59:19.534592,25.52381
2023-09-18 15:59:29.592029,37.095238
2023-09-18 15:59:39.675085,35.52381
2023-09-18 15:59:49.735025,48.57143
2023-09-18 15:59:59.794979,44.42857
2023-09-18 16:00:09.854474,51.47619
2023-09-18 16:00:19.955733,75.04762
2023-09-18 16:00:30.015091,68.15
2023-09-18 16:00:40.154497,69.2
2023-09-18 16:00:50.294609,49.0
2023-09-18 16:01:00.354890,37.0
2023-09-18 16:01:10.415192,54.857143
2023-09-18 16:01:20.475284,24.47619
2023-09-18 16:01:30.514995,37.190475
2023-09-18 16:01:40.591980,40.85
2023-09-18 16:01:50.635537,27.95
2023-09-18 16:02:00.676496,33.7
2023-09-18 16:02:10.734882,30.52381
2023-09-18 16:02:20.794575,30.1
2023-09-18 16:02:30.855473,32.45
2023-09-18 16:02:40.934526,33.0
2023-09-18 16:02:50.995156,21.55
2023-09-18 16:03:01.054788,24.3
2023-09-18 16:03:11.154250,23.761906
2023-09-18 16:03:21.295077,29.190475
2023-09-18 16:03:31.334290,29.65
2023-09-18 16:03:41.375057,33.75
2023-09-18 16:03:51.422818,36.04762
2023-09-18 16:04:01.476740,38.944443
2023-09-18 16:04:11.537216,37.05
2023-09-18 16:04:21.595083,30.4
2023-09-18 16:04:31.654906,66.71429
2023-09-18 16:04:41.714407,68.809525
2023-09-18 16:04:51.754244,44.3
2023-09-18 16:05:01.815067,47.38095
2023-09-18 16:05:11.919156,47.0
2023-09-18 16:05:21.975135,51.47619
2023-09-18 16:05:32.035332,29.904762
2023-09-18 16:05:42.154867,31.1
2023-09-18 16:05:52.294331,34.190475
